"1","which activities are done by nss","activities"
"2","which activities are done by spandan","activities"
"3","give me a list of activities done by nss","activities"
"4","give me a list of activities done by spandan","activities"
"5","what kind of activities are done by nss","activities"
"6","what activities are done by nss","activities"
"7","what kind of activities are done by spandan","activities"
"8","can I bring my parents to the convocation ceremony","audience"
"9","are siblings allowed in convocation ceremoney ","audience"
"10","can I bring my grand parents to the convocation ceremony","audience"
"11","are parents invited to attend convocation ceremoney","audience"
"12","can I bring my parents to the convocation","audience"
"13","are siblings allowed in convocation","audience"
"14","can I bring my grand parents to the convocation","audience"
"15","are parents invited to attend convocation","audience"
"16","who is present in convocation ceremony","audience"
"17","what are the awards in convocation ceremony","awards"
"18","who receives award in convocation","awards"
"19","who receives gold medal in convocation","awards"
"20","where can I read about the gold medalists","awards"
"21","who is awarded in convocation ","awards"
"22","where do I get the books","book"
"23","from where can I get the books","book"
"24","where can I books from","book"
"25","where do I get the books from","book"
"26","how can I get the books","book"
"27","from where can I buy books","book"
"28","how many books can I issue from library","books"
"29","computer time table","ce"
"30","show me the time table of ce","ce"
"31","show me the time table of computer","ce"
"32","who are the counselors of computer department","cecouncellor"
"33","who is the hod of computer department","cehod"
"34","who is the head of ce department","cehod"
"35","who is the head of computer department","cehod"
"36","show me the time table of ch","ch"
"37","chemical time table","ch"
"38","show me the time table of chemical","ch"
"39","does the fee change every year","change"
"40","does the amount of fee differ for all branches of engineering","change"
"41","is the amount of fee different for every year","change"
"42","is the amount of fee different for every branch","change"
"43","is the amount of fee different for every semester","change"
"44","to which cities is transportation available","cities"
"45","for which cities is the transportation facility available","cities"
"46","transportation facility is available to which cities","cities"
"47","show me the time table of cl","cl"
"48","show me the time table of civil","cl"
"49","civil time table","cl"
"50","when does the library close","closingtime"
"51","what is the closing time of library","closingtime"
"52","library closing time","closingtime"
"53","I want to become committee member of felicific","committee"
"54","when is the committee of felicific formed","committee"
"55","who can be the committee members of felicific committee","committee"
"56","how can I become the committee member of techfest committee","committee"
"57","coordinator of ieee","coordinator"
"58","the person to contact for queries related to ieee","coordinator"
"59","the person to contact for queries related to nss","coordinator"
"60","coordinator of nss","coordinator"
"61","who is the coordinator of shutterbus","coordinator"
"62","coordinator of shutterbugs","coordinator"
"63","whom to contact for queries regarding shutterbugs","coordinator"
"64","coordinator of spandan","coordinator"
"65","the person to contact for queries related to spandan","coordinator"
"66","how is cultural night celebrated","cultural"
"67","what is done in cultural night","cultural"
"68","what are cultural events in techfest","cultural"
"69","when do we get the attendance","date"
"70","when do I get the attendance","date"
"71","when is convation ceremony held","date"
"72","when is convocation held","date"
"73","when is convocation ceremony","date"
"74","when do we have sessional exams","date"
"75","when do we have remedial exam","date"
"76","when do we have block exam","date"
"77","when is fees submission due","date"
"78","when do we need to submit fees","date"
"79","timing of fee payment","time"
"80","when to pay the fees","date"
"81","till when can we submit fees","date"
"82","when do i have to pay the fees","date"
"83","when is the fees to be submitted","date"
"84","what is the date and time of getting the hall ticket signed","date"
"85","when is journal submission","date"
"86","when is journal to be submitted","date"
"87","what is the submission date","date"
"88","when do we need to submit journal","date"
"89","when are submissions to be done","date"
"90","when is submission","date"
"91","when is the submission for journal","date"
"92","do we have practical exam for each subject","date"
"93","when are practicals conducted","date"
"94","when do practicals start","date"
"95","what date does practicals start","date"
"96","when is practical exam","date"
"97","when does practicals start","date"
"98","when  is practical","date"
